startup_id,investor_id,label,source
kZHalSqZ6TbxO2t2EB7X,I1,1,rule_based_investor_preferences_from_firestore
Ft0vvBVy2WExl1Re1OpH,I1,1,rule_based_investor_preferences_from_firestore
8bvklkEYFdcWqXaxsfVB,I1,1,rule_based_investor_preferences_from_firestore
insHel9MOJPKmMFVfpBV,I1,1,rule_based_investor_preferences_from_firestore
57tTBfxXz2aRIjtDt91r,I1,1,rule_based_investor_preferences_from_firestore
E3apXHP1HKEV9IRK5KXo,I10,1,rule_based_investor_preferences_from_firestore
insHel9MOJPKmMFVfpBV,I10,1,rule_based_investor_preferences_from_firestore
rhm17rZeXVAHUisobeEM,I10,1,rule_based_investor_preferences_from_firestore
J1xIZceKmoo8sY4QAalj,I10,1,rule_based_investor_preferences_from_firestore
mWS6ZBjLM7v34zFbBXmu,I10,1,rule_based_investor_preferences_from_firestore
PsCAnx9hi3uNBSIyGEpz,I100,1,rule_based_investor_preferences_from_firestore
1bUlVf4xlNocPT1f1QYU,I100,1,rule_based_investor_preferences_from_firestore
Kj27vlcp8IqBTIdBmlcx,I100,1,rule_based_investor_preferences_from_firestore
hpSI95oZbzzl4Di9aJBe,I100,1,rule_based_investor_preferences_from_firestore
RnCq8QQ4A1x1jjsk2QNQ,I100,1,rule_based_investor_preferences_from_firestore
RnCq8QQ4A1x1jjsk2QNQ,I101,1,rule_based_investor_preferences_from_firestore
gVIpjWo2PkA3KSJqDO5Q,I101,1,rule_based_investor_preferences_from_firestore
CN7V4bukdc0g8jNYHHSx,I101,1,rule_based_investor_preferences_from_firestore
insHel9MOJPKmMFVfpBV,I101,1,rule_based_investor_preferences_from_firestore
reZq4OiLEk3fqQZQkHPO,I101,1,rule_based_investor_preferences_from_firestore
mWS6ZBjLM7v34zFbBXmu,I102,1,rule_based_investor_preferences_from_firestore
t9K6uIH3RBJsNQuv5qaU,I102,1,rule_based_investor_preferences_from_firestore
57tTBfxXz2aRIjtDt91r,I102,1,rule_based_investor_preferences_from_firestore
1lEPQPkqWFGFWalzVfVj,I102,1,rule_based_investor_preferences_from_firestore
Kj27vlcp8IqBTIdBmlcx,I102,1,rule_based_investor_preferences_from_firestore
3YkuREXWGWlonSKWThG4,I103,1,rule_based_investor_preferences_from_firestore
BkYBKY272QrSuN3kkocO,I103,1,rule_based_investor_preferences_from_firestore
yuCwGShLGQY5647m1nG9,I103,1,rule_based_investor_preferences_from_firestore
Ft0vvBVy2WExl1Re1OpH,I103,1,rule_based_investor_preferences_from_firestore
a6KPPlbQAlgGuKoz9eAX,I103,1,rule_based_investor_preferences_from_firestore
kZHalSqZ6TbxO2t2EB7X,I104,1,rule_based_investor_preferences_from_firestore
8bvklkEYFdcWqXaxsfVB,I104,1,rule_based_investor_preferences_from_firestore
Ft0vvBVy2WExl1Re1OpH,I104,1,rule_based_investor_preferences_from_firestore
1bUlVf4xlNocPT1f1QYU,I104,1,rule_based_investor_preferences_from_firestore
uCXyCuBXcc5hBBZREEvR,I104,1,rule_based_investor_preferences_from_firestore
kZHalSqZ6TbxO2t2EB7X,I105,1,rule_based_investor_preferences_from_firestore
3mhAupMtT2rUsRE8xpbt,I105,1,rule_based_investor_preferences_from_firestore
Ft0vvBVy2WExl1Re1OpH,I105,1,rule_based_investor_preferences_from_firestore
8bvklkEYFdcWqXaxsfVB,I105,1,rule_based_investor_preferences_from_firestore
RnCq8QQ4A1x1jjsk2QNQ,I105,1,rule_based_investor_preferences_from_firestore
VRavX7RWMPBESgZXlO6q,I106,1,rule_based_investor_preferences_from_firestore
wqSGFi5RLueIp9jFW4wt,I106,1,rule_based_investor_preferences_from_firestore
RnCq8QQ4A1x1jjsk2QNQ,I106,1,rule_based_investor_preferences_from_firestore
hPzEC5t9svIkKs5RPXGU,I106,1,rule_based_investor_preferences_from_firestore
1bUlVf4xlNocPT1f1QYU,I106,1,rule_based_investor_preferences_from_firestore
wqSGFi5RLueIp9jFW4wt,I107,1,rule_based_investor_preferences_from_firestore
VRavX7RWMPBESgZXlO6q,I107,1,rule_based_investor_preferences_from_firestore
hPzEC5t9svIkKs5RPXGU,I107,1,rule_based_investor_preferences_from_firestore
PsCAnx9hi3uNBSIyGEpz,I107,1,rule_based_investor_preferences_from_firestore
